symbol,date,rs,rsi,ema10,ema20,ema30,ema50,ema100,ema200,volume20,volume50
 ADANIPORTS.NS,2024-05-28,1.4512248948977686,59.204069684446225,1383.684613413048,1358.3628635549405,1345.5298563724577,1323.102746424696,1248.834900433218,1110.202210232695,4339035.25,4376360.44
 ADANIPORTS.NS,2024-05-29,1.5342938848381087,60.541277158790116,1388.46922915613,1363.2806860735175,1349.6892204774606,1326.5104818590216,1252.0262885434515,1113.1852728174445,4390180.8,4377854.58
 ADANIPORTS.NS,2024-05-30,1.2278837456276606,55.11435450963037,1387.5657329459245,1365.2063350188969,1351.870561091818,1328.7453649233737,1254.6297283742742,1115.8749715953804,4448010.3,4274001.08
 ADANIPORTS.NS,2024-05-31,1.6653276300701174,62.481160337737066,1396.6265132128585,1372.0819244851032,1357.3885909835758,1333.0063319622243,1258.2489421572402,1119.0742258522828,4460383.2,4294868.4
 ADANIPORTS.NS,2024-06-03,2.94619356789643,74.6591244754103,1430.685320114498,1392.2598317886052,1372.005452931208,1342.84725820574,1264.6984670882232,1123.6998549599405,5453859.45,4682343.62
 ADANIPORTS.NS,2024-06-04,0.7093840764702923,41.49939655077984,1397.6425257612937,1378.6112717298688,1364.0663883015739,1339.1650108710785,1264.3866152878995,1124.9461245739897,7859307.25,5627367.22
 ADANIPORTS.NS,2024-06-05,0.967240050693035,49.16736268928075,1389.8166075475926,1376.324481620923,1363.4556519973394,1339.7703036049945,1266.173018462118,1127.2312375193821,8729586.5,5998739.24
 ADANIPORTS.NS,2024-06-06,0.96306331024925,49.05920788295767,1383.113579115644,1374.0983358638707,1362.7778648473095,1340.287152529186,1267.8913735652816,1129.4771948691582,9255907.6,6186374.08
 ADANIPORTS.NS,2024-06-07,1.0360590817712303,50.88551167532579,1382.338378473879,1374.5508729802582,1363.8147752175437,1341.799420100039,1270.0885736052944,1131.9585160703202,9420526.2,6240943.18
 ADANIPORTS.NS,2024-06-10,1.0518421587142142,51.26330766950175,1382.64959126556,1375.4555563943406,1365.120276740807,1343.4563075011406,1272.345236480994,1134.466889530597,9561567.8,6276269.34
 ADANIPORTS.NS,2024-06-11,1.1152534270921544,52.72434086658339,1386.4314748848901,1378.1216892302962,1367.5931589621662,1345.808999409797,1274.9413694451698,1137.143337905137,9642921.2,6286514.02
 ADANIPORTS.NS,2024-06-12,1.0791653953685199,51.90377820698791,1387.798470573433,1379.6291427485417,1369.293597169244,1347.696879871055,1277.2979750239165,1139.6986275893832,9656357.3,6252911.32
 ADANIPORTS.NS,2024-06-13,1.117681291473439,52.77854113239955,1390.8260125004224,1381.9930292650495,1371.5617490403815,1349.9224905103029,1279.8158359377373,1142.3329691175672,9688826.85,6225919.68
 ADANIPORTS.NS,2024-06-14,1.2213779348328369,54.982896682313,1398.0758195315955,1386.631783732366,1375.3771169198328,1353.0902340656587,1282.8036401997995,1145.2022923220877,9730270.5,6273920.26
 ADANIPORTS.NS,2024-06-18,1.2822135066626648,56.182890116081914,1406.607488707669,1392.1906614721408,1379.868915828231,1356.6945386121035,1286.015449304754,1148.1853540900272,9915609.25,6271578.2
 ADANIPORTS.NS,2024-06-19,1.297790613304388,56.479933627985005,1414.2061315633769,1397.5439341332763,1384.2902776724782,1360.2908321729647,1289.2309854455325,1151.1725647400178,9929817.45,6306721.4
 ADANIPORTS.NS,2024-06-20,1.401402298103,58.35766456999083,1424.241384808956,1404.387371302875,1389.7812290751613,1364.5696240255568,1292.7986891874834,1154.3390071248343,10081169.5,6320879.52
 ADANIPORTS.NS,2024-06-21,1.4869482260863591,59.79007566338959,1435.3793148436912,1412.112383559744,1395.9566336509572,1369.311991710829,1296.6145567283254,1157.6341413822986,10984712.45,6801654.98
 ADANIPORTS.NS,2024-06-24,1.2992300797797351,56.50717999932398,1439.9012575993836,1416.696918458816,1400.1045927702503,1372.878188114326,1299.8548625356852,1160.6452444531217,10180195.85,6581076.4
 ADANIPORTS.NS,2024-06-25,1.271168121511382,55.96979411041858,1442.855578838416,1420.4543571212205,1403.720427069851,1376.143750322159,1302.9498162362472,1163.5855905223848,10071501.25,6609224.1
 ADANIPORTS.NS,2024-06-26,1.3372621397347522,57.214897593237595,1447.390937018363,1424.9634706171162,1407.854596215546,1379.7381149694518,1306.2141772776704,1166.6126000577651,10028854.4,6593903.06
 ADANIPORTS.NS,2024-06-27,1.4454035607454154,59.10695412191283,1454.3198575604788,1430.728854367867,1412.8639771048656,1383.8856398726105,1309.7643915890037,1169.7856090124142,10258301.05,6706306.62
 ADANIPORTS.NS,2024-06-28,1.3782946912158096,57.953065963882324,1458.6435153832895,1435.240389721969,1417.0727512004187,1387.5803197045057,1313.097769489933,1172.8534136549367,10661156.15,6869554.52
 ADANIPORTS.NS,2024-07-01,1.3455646569198136,57.36634259687405,1461.5265125863275,1438.9794002246385,1420.7777349939402,1390.9889346180544,1316.2938532624096,1175.8548722255343,10417844.2,6883077.26
 ADANIPORTS.NS,2024-07-02,1.3480508064976149,57.41148371948503,1463.9489604044384,1442.3956454971433,1424.266266645037,1394.2776028913047,1319.4335784569348,1178.829947880862,9516354.95,6866063.02
 ADANIPORTS.NS,2024-07-03,1.621929222368462,61.86014513783587,1472.4400629516426,1448.8960625368497,1429.8394123075548,1398.841227264746,1323.2200427333134,1182.131640184675,7132651.9,6876788.66
 ADANIPORTS.NS,2024-07-04,1.5334913583943042,60.528777937739335,1478.1146013993553,1454.1107255727748,1434.6013872821684,1402.9513761725625,1326.7929136576847,1185.330828087455,6237697.65,6758342.86
 ADANIPORTS.NS,2024-07-05,1.4934019522915496,59.89415188028731,1482.175574085268,1458.5239851536414,1438.8496817266657,1406.7748497019475,1330.2316668757876,1188.4663417499867,5735587.3,6723618.08
 ADANIPORTS.NS,2024-07-08,1.2228337407636116,55.01237984373635,1480.9254785839692,1460.1217055035922,1441.2013183138567,1409.462112412778,1333.1043081025666,1191.3204084870827,5550277.45,6716113.8
 ADANIPORTS.NS,2024-07-09,1.2437798973875411,55.43234872706046,1480.3935733868839,1461.8244002175359,1443.5754268097369,1412.1498727103162,1335.9735297242978,1194.1729417359675,5420947.45,6639304.74
 ADANIPORTS.NS,2024-07-10,1.32565679140756,57.00139402793098,1481.7402052852913,1464.2982715137825,1446.428628230278,1415.1165462835636,1338.979995449126,1197.0946044931036,5318907.5,6629636.52
 ADANIPORTS.NS,2024-07-11,1.2801593490049676,56.143416010096516,1482.1237998854085,1466.1603385682736,1448.8429087048366,1417.8119748836566,1341.8487079270826,1199.9478917676593,5244269.05,6621115.16
 ADANIPORTS.NS,2024-07-12,1.3068264961607623,56.650402548076585,1482.9558273920386,1468.1164921495688,1451.2852985414197,1420.5134641498614,1344.7170493774745,1202.8011460900893,5203257.85,6615072.44
 ADANIPORTS.NS,2024-07-15,1.3909682685401157,58.17594013447184,1485.1547767440543,1470.681592785622,1454.1088308179815,1423.4364674705778,1347.6939404557052,1205.709095371065,5016338.05,6493504.12
 ADANIPORTS.NS,2024-07-16,1.4343757687341812,58.92170745192815,1487.6811898502488,1473.3833505039554,1457.0082642379907,1426.4017059551877,1350.691091116545,1208.627910828349,4842258.85,6466333.96
 ADANIPORTS.NS,2024-07-18,1.3529467043428909,57.50009984695889,1488.8118870436692,1475.3373194477751,1459.3883777977373,1429.048698835928,1353.526911577882,1211.4664393217392,4781192.7,6451588.98
